text,positive_example,negative_example_1,negative_example_2,negative_example_3
You may not play a black card on an even black card,9S8S,6SKS,QC4D,KH4S
You may not play a black card on a diamond,TC1D,8C4S,2D1D,
You may not play a same color card on a low even card,TD6D,7S4H,JDQD,4S3C
You may not play an even card on a spade,TD8S,6DTC,9C9S,
You may not play an odd card on a high red card,JH9D,9D1D,KD8C,6H9D
You may not play an even black card on a higher card,4SJC,TC2H,9STS,4HKH
You may not play a heart on an odd card,8H7S,4H2S,8D7H,
You may not play a low red card on an odd card,2H5C,2D6D,8D3D,5S3C
You may not play a high black card on an even card,JC2D,JS7H,3SQH,9D2H
You may not play a low even card on a high card,6HKH,2S2H,QHKC,5C8C
You may not play an even black card on a low card,2S1S,8STD,7C3D,2H1C
You may not play a low even card on a black card,6S1S,4D8H,8S7S,5SJS
You may not play a club on a higher card,1C2D,JCTC,2D5H,
You may not play a low card on an even red card,4D6H,1DJH,2S6S,JH4D
You may not play a high red card on a red card,JD1H,9DJS,5HJD,QC5H
You may not play a heart on a higher card,2H9C,5H1C,6CTS,
You may not play a red card on a high black card,6DQC,JD6S,2HKD,JSJC
You may not play a black card on a spade,6C4S,9C8D,7D4S,
You may not play a higher red card on an even card,7D4D,8HQD,JH7H,5S2H
You may not play a low card on an even black card,6CQS,7D1S,5DTD,QS4S
You may not play a high odd card on an even card,JCQD,JS9C,TCTH,1S8C
You may not play a same color card on a face card,7DQH,7HQC,7H7H,
You may not play a club on a low card,TC4H,4CKC,TS3S,
You may not play a higher even card on a black card,2D1C,4HQS,QC7D,KD1C
You may not play a same color even card on an even card,2HTD,8C2H,6C1C,5D4H
You may not play a high red card on a high card,THKC,8H1D,1D9D,QCTD
You may not play a low card on a face card,3HKS,1C2H,9DQC,
You may not play a black card on a heart,QS7H,1S5D,QD2H,
You may not play a red card on a club,8H6C,8D1H,JC4C,
You may not play a different color card on a high even card,QH8S,3HQD,8CKD,QD4C
You may not play an even card on a low odd card,6D1S,4HKD,8C6C,3S5C
You may not play a higher different color card on an even card,KH2C,9S2S,3STD,5D3S
You may not play a spade on an odd card,TS7H,TS2D,TDJS,
You may not play an even card on a high black card,2HKS,TD7C,TDTH,3C9S
You may not play a same color odd card on an odd card,9C7S,9SJH,9D6H,QD1D
You may not play an odd black card on a lower card,7S4D,7SKH,6C2S,KDTS
You may not play a diamond on an even card,9D8H,3DKC,1S8S,
You may not play a same color even card on a high card,2S8S,4D9S,2S7C,7HJH
You may not play an odd card on a diamond,5D7D,3D3H,4S9D,
You may not play a lower card on a same suit card,6D9D,TD7D,3SQC,
You may not play an even red card on a lower card,QH4D,QHKH,KH5S,4C3H
You may not play a higher red card on a red card,QD6D,JDKH,JH4C,4C2D
You may not play a spade on a high card,7SKD,1S6C,9HQD,
You may not play a face card on an even card,QD4H,KD9C,4C6C,
You may not play a higher black card on a black card,KS9C,8SQS,QS9H,8D6S
You may not play a different color high card on an odd card,QD1C,9H5D,9HQS,2S1D
You may not play a same suit card on a low card,3H2H,1S1C,6S9S,
You may not play a face card on a different color card,KC5H,QD5H,8D2C,
You may not play a high even card on a different color card,8D4S,8S9S,JC4H,6S3D
You may not play a different color even card on a low card,6C5H,QH4H,6CKH,1H5C
You may not play a red card on a low even card,4D6S,TH8H,9D1S,1S2D
You may not play a high black card on a black card,JC2C,JC6H,2C8S,KHKS
You may not play a red card on a high odd card,5DJH,TDQH,2D7S,4S9C
You may not play a higher card on a same suit card,QHTH,1DTD,JHTC,
You may not play a same color high card on an even card,QH8D,9S4H,TCKS,5H8H
You may not play a lower even card on a red card,THKD,4S3D,TCQS,1C9H
You may not play an odd card on a club,3D5C,7H4S,TD3C,
You may not play a lower black card on a red card,4C6H,5S1H,7CTC,THQH
